Id,Time[ns],0:UART: RX/TX
561,2293134040.00,00
562,2293145970.00,03
563,2293157910.00,00
564,2293169840.00,00
565,2293181780.00,02
566,2293193710.00,00
567,2293205650.00,21
568,2293217580.00,30
569,2293229520.00,01
570,2293241450.00,00
571,2293253390.00,F1
572,2293265320.00,0B
573,2303072470.00,B5
574,2303084400.00,62
575,2303096340.00,06
576,2303108270.00,8A
577,2303120210.00,09
578,2303132140.00,00
579,2303144080.00,00
580,2303156010.00,03
581,2303167950.00,00
582,2303179880.00,00
583,2303191830.00,03
584,2303203750.00,00
585,2303215690.00,21
586,2303227620.00,20
587,2303239560.00,00
588,2303251490.00,E0
589,2303263430.00,F3
590,2313066380.00,B5
591,2313078310.00,62
592,2313090250.00,06
593,2313102190.00,8A
594,2313114130.00,09
595,2313126050.00,00
596,2313137990.00,00
597,2313149930.00,03
598,2313161870.00,00
599,2313173790.00,00
600,2313185730.00,20
601,2313197670.00,00
602,2313209610.00,31
603,2313221530.00,10
604,2313233470.00,00
605,2313245410.00,FD
606,2313257340.00,94
607,2328052190.00,B5
608,2328064130.00,62
609,2328076070.00,06
610,2328087990.00,8A
611,2328099930.00,09
612,2328111870.00,00
613,2328123810.00,00
614,2328135730.00,03
615,2328147670.00,00
616,2328159610.00,00
617,2328171550.00,A5
618,2328183470.00,02
619,2328195410.00,91
620,2328207350.00,20
621,2328219290.00,01
622,2328231210.00,F5
623,2328243150.00,76
624,2338056950.00,B5
625,2338068890.00,62
626,2338080830.00,06
627,2338092770.00,8A
628,2338104690.00,09
629,2338116640.00,00
630,2338128570.00,00
631,2338140510.00,03
632,2338152440.00,00
633,2338164380.00,00
634,2338176310.00,32
635,2338188250.00,02
636,2338200180.00,91
637,2338212120.00,20
638,2338224050.00,01
639,2338235990.00,82
640,2338247920.00,37
641,2348042110.00,B5
642,2348054050.00,62
643,2348065980.00,06
644,2348077920.00,8B
645,2348089850.00,08
646,2348101790.00,00
647,2348113720.00,00
648,2348125660.00,00
649,2348137590.00,00
650,2348149530.00,00
651,2348161460.00,01
652,2348173400.00,00
653,2348185330.00,C7
654,2348197270.00,10
655,2348209200.00,71
656,2348221140.00,33
657,2358048880.00,B5
658,2358060820.00,62
659,2358072750.00,06
660,2358084690.00,8B
661,2358096620.00,08
662,2358108560.00,00
663,2358120490.00,00
664,2358132430.00,00
665,2358144360.00,00
666,2358156300.00,00
667,2358168230.00,02
668,2358180170.00,00
669,2358192100.00,C7
670,2358204040.00,10
671,2358215970.00,72
672,2358227910.00,37
673,2368047970.00,B5
674,2368059910.00,62
675,2368071840.00,06
676,2368083780.00,8B
677,2368095710.00,08
678,2368107650.00,00
679,2368119580.00,00
680,2368131520.00,00
681,2368143450.00,00
682,2368155390.00,00
683,2368167320.00,03
684,2368179260.00,00
685,2368191190.00,C7
686,2368203130.00,20
687,2368215060.00,83
688,2368227000.00,4B
689,2378046450.00,B5
690,2378058380.00,62
691,2378070320.00,06
692,2378082250.00,8B
693,2378094190.00,08
694,2378106120.00,00
695,2378118060.00,00
696,2378129990.00,00
697,2378141930.00,00
698,2378153860.00,00
699,2378165800.00,04
700,2378177730.00,00
701,2378189670.00,C7
702,2378201600.00,50
703,2378213540.00,B4
704,2378225470.00,7F
705,2388042430.00,B5
706,2388054370.00,62
707,2388066300.00,06
708,2388078240.00,8B
709,2388090170.00,08
710,2388102110.00,00
711,2388114040.00,00
712,2388125980.00,00
713,2388137910.00,00
714,2388149850.00,00
715,2388161780.00,05
716,2388173720.00,00
717,2388185650.00,C7
718,2388197590.00,50
719,2388209520.00,B5
720,2388221460.00,83
721,2398046400.00,B5
722,2398058340.00,62
723,2398070270.00,06
724,2398082210.00,8B
725,2398094140.00,08
726,2398106080.00,00
727,2398118010.00,00
728,2398129950.00,00
729,2398141880.00,00
730,2398153820.00,00
731,2398165750.00,06
732,2398177690.00,00
733,2398189620.00,C7
734,2398201560.00,50
735,2398213490.00,B6
736,2398225430.00,87
737,2408046840.00,B5
738,2408058780.00,62
739,2408070710.00,06
740,2408082650.00,8B
741,2408094580.00,08
742,2408106520.00,00
743,2408118450.00,00
744,2408130390.00,00
745,2408142320.00,00
746,2408154260.00,00
747,2408166190.00,07
748,2408178130.00,00
749,2408190060.00,C7
750,2408202000.00,50
751,2408213930.00,B7
752,2408225870.00,8B
753,2418059700.00,B5
754,2418071630.00,62
755,2418083570.00,13
756,2418095500.00,80
757,2418107440.00,54
758,2418119370.00,00
759,2418131310.00,01
760,2418143240.00,00
761,2418155180.00,00
762,2418167110.00,01
763,2418179050.00,19
764,2418190980.00,06
765,2418202920.00,05
766,2418214850.00,05
767,2418226790.00,3B
768,2418238720.00,00
769,2418250660.00,04
770,2418262590.00,00
771,2418274530.00,5C
772,2418286460.00,40
773,2418298400.00,10
774,2418310330.00,05
775,2418322270.00,00
776,2418334200.00,A3
777,2418346140.00,C4
778,2418358070.00,04
779,2418370010.00,40
780,2418381940.00,C1
781,2418393880.00,20
782,2418405810.00,5E
783,2418417750.00,56
784,2418429680.00,A7
785,2418441620.00,FF
786,2418453550.00,ED
787,2418465490.00,2E
788,2418477420.00,25
789,2418489360.00,36
790,2418501290.00,75
791,2418513230.00,4B
792,2418525160.00,A7
793,2418537100.00,49
794,2418549030.00,00
795,2418560970.00,DF
796,2418572900.00,99
797,2418584840.00,F7
798,2418596770.00,46
799,2418608710.00,57
800,2418620640.00,56
801,2418632580.00,15
802,2418644510.00,27
803,2418656450.00,0A
804,2418668380.00,A1
805,2418680320.00,24
806,2418692250.00,09
807,2418704190.00,9C
808,2418716120.00,C9
809,2418728060.00,0D
810,2418739990.00,A1
811,2418751930.00,E4
812,2418763860.00,57
813,2418775800.00,63
814,2418787730.00,00
815,2418799670.00,A5
816,2418811600.00,F9
817,2418823540.00,73
818,2418835470.00,2F
819,2418847410.00,B2
820,2418859340.00,FA
821,2418871280.00,DE
822,2418883210.00,10
823,2418895150.00,D1
824,2418907080.00,1B
825,2418919020.00,E4
826,2418930950.00,57
827,2418942890.00,0F
828,2418954820.00,00
829,2418966760.00,FB
830,2418978690.00,FF
831,2418990630.00,00
832,2419002560.00,D6
833,2419014500.00,7E
834,2419026430.00,50
835,2419038370.00,C8
836,2419050300.00,3F
837,2419062240.00,09
838,2419074170.00,00
839,2419086110.00,46
840,2419098040.00,09
841,2419109980.00,0A
842,2419121910.00,00
843,2419133850.00,4C
844,2419145780.00,3E
845,2419157720.00,B5
846,2419169650.00,62
847,2419181590.00,13
848,2419193520.00,80
849,2419205460.00,54
850,2419217390.00,00
851,2419229330.00,01
852,2419241270.00,00
853,2419253210.00,00
854,2419265130.00,02
855,2419277070.00,19
856,2419289010.00,06
857,2419300950.00,05
858,2419312870.00,05
859,2419324810.00,3B
860,2419336750.00,00
861,2419348690.00,04
862,2419360610.00,00
863,2419372550.00,5C
864,2419384490.00,40
865,2419396430.00,10
866,2419408350.00,05
867,2419420290.00,01
868,2419432230.00,4B
869,2419444170.00,C4
870,2419456090.00,04
871,2419468030.00,A5
872,2419479970.00,CB
873,2419491910.00,20
874,2419503830.00,5D
875,2419515770.00,DB
876,2419527700.00,A6
877,2419539650.00,FF
878,2419551570.00,DA
879,2419563510.00,C9
880,2419575450.00,0D
881,2419587390.00,D5
882,2419599310.00,BB
883,2419611250.00,D3
884,2419623190.00,26
885,2419635130.00,64
886,2419647050.00,08
887,2419658990.00,41
888,2419670930.00,56
889,2419682870.00,49
890,2419694790.00,40
891,2419706730.00,C5
892,2419718670.00,14
893,2419730610.00,55
894,2419742530.00,27
895,2419754470.00,48
896,2419766410.00,A9
897,2419778350.00,1F
898,2419790270.00,D8
899,2419802210.00,62
900,2419814150.00,9C
901,2419826090.00,0D
902,2419838010.00,A1
903,2419849950.00,E4
904,2419861890.00,57
905,2419873830.00,51
906,2419885750.00,00
907,2419897690.00,0B
908,2419909630.00,FA
909,2419921570.00,9B
910,2419933490.00,2E
911,2419945430.00,60
912,2419957370.00,FB
913,2419969310.00,60
914,2419981230.00,10
915,2419993170.00,68
916,2420005110.00,1D
917,2420017050.00,E4
918,2420028970.00,57
919,2420040910.00,5E
920,2420052850.00,FF
921,2420064790.00,5C
922,2420076710.00,00
923,2420088650.00,00
924,2420100590.00,AE
925,2420112530.00,7E
926,2420124450.00,50
927,2420136390.00,A3
928,2420148330.00,FB
929,2420160270.00,3A
930,2420172190.00,00
931,2420184140.00,96
932,2420196070.00,08
933,2420208010.00,0A
934,2420219940.00,00
935,2420231880.00,CC
936,2420243810.00,DC
937,2420255750.00,B5
938,2420267670.00,62
939,2420279610.00,13
940,2420291550.00,80
941,2420303490.00,54
942,2420315420.00,00
943,2420327360.00,01
944,2420339290.00,00
945,2420351230.00,00
946,2420363160.00,03
947,2420375100.00,19
948,2420387030.00,06
949,2420398970.00,05
950,2420410900.00,05
951,2420422840.00,3B
952,2420434770.00,00
953,2420446710.00,04
954,2420458640.00,00
955,2420470580.00,5C
956,2420482510.00,40
957,2420494450.00,10
958,2420506380.00,05
959,2420518320.00,02
960,2420530250.00,2E
961,2420542190.00,C4
962,2420554120.00,04
963,2420566060.00,0E
964,2420577990.00,54
965,2420589930.00,20
966,2420601860.00,66
967,2420613800.00,B7
968,2420625730.00,AA
969,2420637670.00,FF
970,2420649590.00,03
971,2420661540.00,DC
972,2420673470.00,97
973,2420685410.00,63
974,2420697340.00,28
975,2420709280.00,E8
976,2420721210.00,4D
977,2420733150.00,39
978,2420745080.00,03
979,2420757020.00,BB
980,2420768950.00,4C
981,2420780890.00,D7
982,2420792820.00,6E
983,2420804760.00,39
984,2420816690.00,AE
985,2420828630.00,56
986,2420840560.00,28
987,2420852500.00,5A
988,2420864430.00,CD
989,2420876370.00,B2
990,2420888300.00,2F
991,2420900240.00,F5
992,2420912170.00,29
993,2420924110.00,0E
994,2420936040.00,A1
995,2420947980.00,E4
996,2420959910.00,57
997,2420971850.00,04
998,2420983780.00,00
999,2420995720.00,C2
1000,2421007650.00,FF
1001,2421019590.00,3F
1002,2421031520.00,29
1003,2421043460.00,8C
1004,2421055390.00,FF
1005,2421067330.00,FD
1006,2421079260.00,12
1007,2421091200.00,44
1008,2421103130.00,1B
1009,2423124900.00,E4
1010,2423136830.00,57
1011,2423148770.00,E6
1012,2423160700.00,FF
1013,2423172640.00,13
1014,2423184570.00,00
1015,2423196510.00,00
1016,2423208440.00,22
1017,2423220380.00,44
1018,2423232310.00,50
1019,2423244250.00,F3
1020,2423256180.00,B3
1021,2423268120.00,16
1022,2423280050.00,00
1023,2423291990.00,5C
1024,2423303920.00,08
1025,2423315860.00,0A
1026,2423327790.00,00
1027,2423339730.00,B0
1028,2423351660.00,FF
1029,2423363600.00,B5
1030,2423375530.00,62
1031,2423387470.00,13
1032,2423399400.00,80
1033,2423411340.00,54
1034,2423423270.00,00
1035,2423435210.00,01
1036,2423447140.00,00
1037,2423459080.00,00
1038,2423471010.00,04
1039,2423482950.00,19
1040,2423494880.00,06
1041,2423506820.00,05
1042,2423518750.00,05
1043,2423530690.00,3B
1044,2423542620.00,00
1045,2423554560.00,04
1046,2423566490.00,00
1047,2423578430.00,5C
1048,2423590360.00,40
1049,2423602300.00,10
1050,2423614230.00,05
1051,2423626170.00,03
1052,2423638100.00,5C
1053,2423650040.00,C4
1054,2423661970.00,04
1055,2423673910.00,D1
1056,2423685840.00,AD
1057,2423697780.00,20
1058,2423709710.00,00
1059,2423721650.00,0A
1060,2423733580.00,A7
1061,2423745520.00,FF
1062,2423757450.00,F6
1063,2423769390.00,2E
1064,2423781320.00,D1
1065,2423793260.00,7D
1066,2423805190.00,9F
1067,2423817130.00,8B
1068,2423829060.00,32
1069,2423841000.00,AD
1070,2423852930.00,01
1071,2423864870.00,B1
1072,2423876800.00,2D
1073,2423888740.00,99
1074,2423900670.00,9A
1075,2423912610.00,2D
1076,2423924540.00,23
1077,2423936480.00,70
1078,2423948410.00,27
1079,2423960350.00,2C
1080,2423972280.00,24
1081,2423984220.00,7E
1082,2423996150.00,89
1083,2424008090.00,2A
1084,2424020020.00,E2
1085,2424031960.00,0C
1086,2424043890.00,A1
1087,2424055830.00,E4
1088,2424067760.00,57
1089,2424079700.00,28
1090,2424091630.00,00
1091,2424103570.00,A5
1092,2424115500.00,FD
1093,2424127440.00,01
1094,2424139370.00,34
1095,2424151310.00,B7
1096,2424163240.00,FD
1097,2424175180.00,7D
1098,2424187110.00,0C
1099,2424199050.00,18
1100,2424210990.00,22
1101,2424222930.00,E4
1102,2424234850.00,57
1103,2424246790.00,FA
1104,2424258720.00,FF
1105,2424270660.00,DF
1106,2424282590.00,FF
1107,2424294530.00,00
1108,2424306470.00,A6
1109,2424318410.00,41
1110,2424330330.00,50
1111,2424342270.00,26
1112,2424354210.00,D7
