Id,Time[ns],0:UART: RX/TX
611,2263353580.00,1C
612,2263364440.00,00
613,2263375300.00,F3
614,2263386160.00,05
615,2263397020.00,00
616,2263407880.00,00
617,2263418740.00,11
618,2263429600.00,AA
619,2263440460.00,3B
620,2263451320.00,D0
621,2263462180.00,A2
622,2263473040.00,13
623,2263483900.00,5E
624,2263494760.00,0F
625,2263505620.00,E9
626,2263516480.00,1E
627,2263527340.00,01
628,2263538200.00,00
629,2263549060.00,26
630,2263559900.00,8A
631,2263570780.00,01
632,2263581620.00,00
633,2263592500.00,9B
634,2263603340.00,05
635,2263614220.00,00
636,2263625060.00,00
637,2263635940.00,19
638,2263646780.00,08
639,2263657640.00,00
640,2263668500.00,00
641,2263679360.00,79
642,2263690220.00,04
643,2263701080.00,B5
644,2263711940.00,62
645,2263722800.00,01
646,2263733660.00,03
647,2263744520.00,10
648,2263755380.00,00
649,2263766240.00,F3
650,2263777100.00,05
651,2263787960.00,00
652,2263798820.00,00
653,2263809680.00,03
654,2263820540.00,0F
655,2263831400.00,00
656,2263842260.00,08
657,2263853120.00,00
658,2263863980.00,00
659,2263874840.00,00
660,2263885700.00,00
661,2263896560.00,F3
662,2263907420.00,05
663,2263918280.00,00
664,2263929140.00,00
665,2263940000.00,1E
666,2263950860.00,D4
667,2263961720.00,B5
668,2263972580.00,62
669,2263983440.00,01
670,2263994300.00,04
671,2264005160.00,12
672,2264016020.00,00
673,2264026880.00,F3
674,2264037720.00,05
675,2264048600.00,00
676,2264059440.00,00
677,2264070320.00,64
678,2264081160.00,00
679,2264092040.00,64
680,2264102880.00,00
681,2264113760.00,64
682,2264124600.00,00
683,2264135460.00,64
684,2264146320.00,00
685,2264157180.00,64
686,2264168040.00,00
687,2264178900.00,64
688,2264189760.00,00
689,2264200620.00,64
690,2264211480.00,00
691,2264222340.00,CB
692,2264233200.00,1D
693,2264244060.00,B5
694,2264254920.00,62
695,2264265780.00,01
696,2264276640.00,12
697,2264287500.00,24
698,2264298360.00,00
699,2264309220.00,F3
700,2264320080.00,05
701,2264330940.00,00
702,2264341800.00,00
703,2264352660.00,00
704,2264363520.00,00
705,2264374380.00,00
706,2264385240.00,00
707,2264396100.00,00
708,2264406960.00,00
709,2264417820.00,00
710,2264428680.00,00
711,2264439540.00,00
712,2264450400.00,00
713,2264461260.00,00
714,2264472120.00,00
715,2264482980.00,00
716,2264493840.00,00
717,2264504700.00,00
718,2264515540.00,00
719,2264526420.00,00
720,2264537260.00,00
721,2264548140.00,00
722,2264558980.00,00
723,2264569860.00,00
724,2264580700.00,00
725,2264591580.00,00
726,2264602420.00,00
727,2264613280.00,64
728,2264624140.00,00
729,2264635000.00,00
730,2264645860.00,00
731,2264656720.00,00
732,2264667580.00,00
733,2264678440.00,00
734,2264689300.00,00
735,2264700160.00,93
736,2264711020.00,39
737,2264721880.00,B5
738,2264732740.00,62
739,2264743600.00,01
740,2264754460.00,21
741,2264765320.00,14
742,2264776180.00,00
743,2264787040.00,F3
744,2264797900.00,05
745,2264808760.00,00
746,2264819620.00,00
747,2264830480.00,00
748,2264841340.00,00
749,2264852200.00,00
750,2264863060.00,00
751,2264873920.00,00
752,2264884780.00,00
753,2264895640.00,00
754,2264906500.00,00
755,2264917360.00,E9
756,2264928220.00,07
757,2264939080.00,01
758,2264949940.00,0C
