Id,Time[ns],0:UART: RX/TX
496,1450854000.00,47
497,1450864850.00,47
498,1450875700.00,41
499,1450886550.00,2C
500,1450897400.00,2C
501,1450908250.00,2C
502,1450919100.00,2C
503,1450929950.00,2C
504,1450940800.00,2C
505,1450951650.00,30
506,1450962500.00,2C
507,1450973350.00,30
508,1450984200.00,30
509,1450995050.00,2C
510,1451005900.00,39
511,1451016750.00,39
512,1451027550.00,2E
513,1451038450.00,39
514,1451049250.00,39
515,1451060100.00,2C
516,1451070950.00,2C
517,1451081800.00,2C
518,1451092650.00,2C
519,1451103500.00,2C
520,1451114350.00,2C
521,1451125200.00,2A
522,1451136050.00,35
523,1451146900.00,36
524,1451157750.00,0D
525,1451168600.00,0A
526,1451179450.00,24
527,1451190300.00,47
528,1451201150.00,4E
529,1451212000.00,47
530,1451222850.00,53
531,1451233700.00,41
532,1451244500.00,2C
533,1451255350.00,41
534,1451266250.00,2C
535,1451277050.00,31
536,1451287900.00,2C
537,1451298750.00,2C
538,1451309600.00,2C
539,1451320450.00,2C
540,1451331300.00,2C
541,1451342150.00,2C
542,1451353000.00,2C
543,1451363850.00,2C
544,1451374700.00,2C
545,1451385550.00,2C
546,1451396400.00,2C
547,1451407250.00,2C
548,1451418100.00,2C
549,1451428950.00,39
550,1451439750.00,39
551,1451450650.00,2E
552,1451461500.00,39
553,1451472300.00,39
554,1451483150.00,2C
555,1451494050.00,39
556,1451504850.00,39
557,1451515700.00,2E
558,1451526550.00,39
559,1451537400.00,39
560,1451548250.00,2C
561,1451559100.00,39
562,1451569950.00,39
563,1451580800.00,2E
564,1451591650.00,39
565,1451602500.00,39
566,1451613350.00,2C
567,1451624200.00,31
568,1451635050.00,2A
569,1451645900.00,33
570,1451656750.00,33
571,1451667550.00,0D
572,1451678450.00,0A
573,1451689250.00,24
574,1451700100.00,47
575,1451710950.00,4E
576,1451721800.00,47
577,1451732650.00,53
578,1451743500.00,41
579,1451754350.00,2C
580,1451765200.00,41
581,1451776050.00,2C
582,1451786900.00,31
583,1451797750.00,2C
584,1451808600.00,2C
585,1451819450.00,2C
586,1451830300.00,2C
587,1451841150.00,2C
588,1451852000.00,2C
589,1451862850.00,2C
590,1451873700.00,2C
591,1451884550.00,2C
592,1451895350.00,2C
593,1451906250.00,2C
594,1451917050.00,2C
595,1451927900.00,2C
596,1451938750.00,39
597,1451949600.00,39
598,1451960450.00,2E
599,1451971300.00,39
600,1451982150.00,39
601,1451993000.00,2C
602,1452003850.00,39
603,1452014700.00,39
604,1452025550.00,2E
605,1452036400.00,39
606,1452047250.00,39
607,1452058100.00,2C
608,1452068950.00,39
609,1452079750.00,39
610,1452090650.00,2E
611,1452101500.00,39
612,1452112300.00,39
613,1452123150.00,2C
614,1452134050.00,33
615,1452144850.00,2A
616,1452155700.00,33
617,1452166550.00,31
618,1452177400.00,0D
619,1452188250.00,0A
620,1452199100.00,24
621,1452209950.00,47
622,1452220800.00,4E
623,1452231650.00,47
624,1452242500.00,53
625,1452253350.00,41
626,1452264200.00,2C
627,1452275050.00,41
628,1452285900.00,2C
629,1452296750.00,31
630,1452307550.00,2C
631,1452318450.00,2C
632,1452329300.00,2C
633,1452340100.00,2C
634,1452350950.00,2C
635,1452361800.00,2C
636,1452372650.00,2C
637,1452383500.00,2C
638,1452394350.00,2C
639,1452405200.00,2C
640,1452416050.00,2C
641,1452426900.00,2C
642,1452437750.00,2C
643,1452448600.00,39
644,1452459450.00,39
645,1452470300.00,2E
646,1452481150.00,39
647,1452492000.00,39
648,1452502850.00,2C
649,1452513700.00,39
650,1452524550.00,39
651,1452535350.00,2E
652,1452546250.00,39
653,1452557050.00,39
654,1452567900.00,2C
655,1452578750.00,39
656,1452589600.00,39
657,1452600450.00,2E
658,1452611300.00,39
659,1452622150.00,39
660,1452633000.00,2C
661,1452643850.00,34
662,1452654700.00,2A
663,1452665550.00,33
664,1452676400.00,36
665,1452687250.00,0D
666,1452698100.00,0A
667,1452708950.00,24
668,1452719800.00,47
669,1452730650.00,4E
670,1452741500.00,47
671,1452752300.00,53
672,1452763150.00,41
673,1452774050.00,2C
674,1452784850.00,41
675,1452795700.00,2C
676,1452806550.00,31
677,1452817400.00,2C
678,1452828250.00,2C
679,1452839100.00,2C
680,1452849950.00,2C
681,1452860800.00,2C
682,1452871650.00,2C
683,1452882500.00,2C
684,1452893350.00,2C
685,1452904200.00,2C
686,1452915050.00,2C
687,1452925900.00,2C
688,1452936750.00,2C
689,1452947550.00,2C
690,1452958450.00,39
691,1452969300.00,39
692,1452980100.00,2E
693,1452990950.00,39
694,1453001850.00,39
695,1453012650.00,2C
696,1453023500.00,39
697,1453034350.00,39
698,1453045200.00,2E
699,1453056050.00,39
700,1453066900.00,39
701,1453077750.00,2C
702,1453088600.00,39
703,1453099450.00,39
704,1453110300.00,2E
705,1453121150.00,39
706,1453132000.00,39
707,1453142850.00,2C
708,1453153700.00,35
709,1453164550.00,2A
710,1453175350.00,33
711,1453186250.00,37
712,1453197050.00,0D
713,1453207900.00,0A
714,1453218750.00,24
715,1453229600.00,47
716,1453240450.00,50
717,1453251300.00,47
718,1453262150.00,53
719,1453273000.00,56
720,1453283850.00,2C
721,1453294700.00,31
722,1453305550.00,2C
723,1453316400.00,31
724,1453327250.00,2C
725,1453338100.00,30
726,1453348950.00,30
727,1453359800.00,2C
728,1453370650.00,30
729,1453381500.00,2A
730,1453392350.00,36
731,1453403150.00,35
732,1453414050.00,0D
733,1453424850.00,0A
734,1453435700.00,24
735,1453446550.00,47
736,1453457400.00,41
737,1453468250.00,47
738,1453479100.00,53
739,1453489950.00,56
740,1453500800.00,2C
741,1453511650.00,31
742,1453522500.00,2C
743,1453533350.00,31
744,1453544200.00,2C
745,1453555050.00,30
746,1453565900.00,30
747,1453576750.00,2C
748,1453587550.00,30
749,1453598450.00,2A
750,1453609300.00,37
751,1453620100.00,34
752,1453630950.00,0D
753,1453641850.00,0A
754,1453652650.00,24
755,1453663500.00,47
756,1453674350.00,42
757,1453685200.00,47
758,1453696050.00,53
759,1453706900.00,56
760,1453717750.00,2C
761,1453728600.00,31
762,1453739450.00,2C
763,1453750300.00,31
764,1453761150.00,2C
765,1453772000.00,30
766,1453782850.00,30
767,1453793700.00,2C
768,1453804550.00,30
769,1453815350.00,2A
770,1453826250.00,37
771,1453837050.00,37
772,1453847900.00,0D
773,1453858750.00,0A
774,1453869600.00,24
775,1453880450.00,47
776,1453891300.00,51
777,1453902150.00,47
778,1453913000.00,53
779,1453923850.00,56
780,1453934700.00,2C
781,1453945550.00,31
782,1453956400.00,2C
783,1453967250.00,31
784,1453978100.00,2C
785,1453988950.00,30
786,1453999800.00,30
787,1454010650.00,2C
788,1454021500.00,30
789,1454032350.00,2A
790,1454043150.00,36
791,1454054050.00,34
792,1454064850.00,0D
793,1454075700.00,0A
794,1454086550.00,24
795,1454097400.00,47
796,1454108250.00,4E
797,1454119100.00,47
798,1454129950.00,4C
799,1454140800.00,4C
800,1454151650.00,2C
801,1454162500.00,2C
802,1454173350.00,2C
803,1454184200.00,2C
804,1454195050.00,2C
805,1454205900.00,2C
806,1454216750.00,56
807,1454227600.00,2C
808,1454238450.00,4E
809,1454249300.00,2A
810,1454260100.00,37
811,1454270950.00,41
812,1454281850.00,0D
