Id,Time[ns],0:UART: RX/TX
448,855268430.00,4D
449,855279270.00,43
450,855290120.00,2C
451,855300960.00,2C
452,855311820.00,56
453,855322670.00,2C
454,855333510.00,2C
455,855344350.00,2C
456,855355200.00,2C
457,855366060.00,2C
458,855376900.00,2C
459,855387750.00,2C
460,855398590.00,2C
461,855409450.00,2C
462,855420290.00,2C
463,855431130.00,4E
464,855441980.00,2C
465,855452840.00,56
466,855463680.00,2A
467,855474530.00,33
468,855485370.00,37
469,855496230.00,0D
470,855507070.00,0A
471,855517920.00,24
472,855528760.00,47
473,855539620.00,4E
474,855550460.00,56
475,855561310.00,54
476,855572150.00,47
477,855582990.00,2C
478,855593850.00,2C
479,855604700.00,2C
480,855615540.00,2C
481,855626390.00,2C
482,855637250.00,2C
483,855648090.00,2C
484,855658930.00,2C
485,855669770.00,2C
486,855680630.00,4E
487,855691480.00,2A
488,855702320.00,32
489,855713170.00,45
490,855724030.00,0D
491,855734870.00,0A
492,855745710.00,24
493,855756560.00,47
494,855767400.00,4E
495,855778260.00,47
496,855789110.00,47
497,855799950.00,41
498,855810790.00,2C
499,855821650.00,2C
500,855832490.00,2C
501,855843340.00,2C
502,855854180.00,2C
503,855865040.00,2C
504,855875890.00,30
505,855886730.00,2C
506,855897570.00,30
507,855908430.00,30
508,855919280.00,2C
509,855930120.00,39
510,855940960.00,39
511,855951820.00,2E
512,855962670.00,39
513,855973510.00,39
514,855984350.00,2C
515,855995200.00,2C
516,856006060.00,2C
517,856016900.00,2C
518,856027750.00,2C
519,856038590.00,2C
520,856049450.00,2A
521,856060290.00,35
522,856071130.00,36
523,856081980.00,0D
524,856092840.00,0A
525,856103680.00,24
526,856114530.00,47
527,856125370.00,4E
528,856136230.00,47
529,856147070.00,53
530,856157920.00,41
531,856168760.00,2C
532,856179620.00,41
533,856190470.00,2C
534,856201310.00,31
535,856212150.00,2C
536,856222990.00,2C
537,856233850.00,2C
538,856244700.00,2C
539,856255540.00,2C
540,856266390.00,2C
541,856277250.00,2C
542,856288090.00,2C
543,856298930.00,2C
544,856309780.00,2C
545,856320640.00,2C
546,856331480.00,2C
547,856342330.00,2C
548,856353170.00,39
549,856364030.00,39
550,856374870.00,2E
551,856385710.00,39
552,856396560.00,39
553,856407400.00,2C
554,856418260.00,39
555,856429110.00,39
556,856439950.00,2E
557,856450790.00,39
558,856461650.00,39
559,856472490.00,2C
560,856483340.00,39
561,856494180.00,39
562,856505040.00,2E
563,856515890.00,39
564,856526730.00,39
565,856537570.00,2C
566,856548430.00,31
567,856559280.00,2A
568,856570120.00,33
569,856580970.00,33
570,856591830.00,0D
571,856602670.00,0A
572,856613510.00,24
573,856624360.00,47
574,856635200.00,4E
575,856646060.00,47
576,856656900.00,53
577,856667750.00,41
578,856678590.00,2C
579,856689450.00,41
580,856700290.00,2C
581,856711140.00,31
582,856721980.00,2C
583,856732840.00,2C
584,856743680.00,2C
585,856754530.00,2C
586,856765370.00,2C
587,856776230.00,2C
588,856787070.00,2C
589,856797920.00,2C
590,856808760.00,2C
591,856819620.00,2C
592,856830470.00,2C
593,856841310.00,2C
594,856852150.00,2C
595,856863000.00,39
596,856873850.00,39
597,856884700.00,2E
598,856895550.00,39
599,856906390.00,39
600,856917250.00,2C
601,856928090.00,39
602,856938930.00,39
603,856949780.00,2E
604,856960640.00,39
605,856971480.00,39
606,856982330.00,2C
607,856993170.00,39
608,857004030.00,39
609,857014870.00,2E
610,857025710.00,39
611,857036560.00,39
612,857047400.00,2C
613,857058260.00,33
614,857069110.00,2A
615,857079950.00,33
616,857090790.00,31
617,857101650.00,0D
618,857112500.00,0A
619,857123340.00,24
620,857134190.00,47
621,857145040.00,4E
622,857155890.00,47
623,857166730.00,53
624,857177570.00,41
625,857188430.00,2C
626,857199280.00,41
627,857210120.00,2C
628,857220970.00,31
629,857231830.00,2C
630,857242670.00,2C
631,857253510.00,2C
632,857264360.00,2C
633,857275200.00,2C
634,857286060.00,2C
635,857296910.00,2C
636,857307750.00,2C
637,857318590.00,2C
638,857329450.00,2C
639,857340290.00,2C
640,857351140.00,2C
641,857361980.00,2C
642,857372840.00,39
643,857383690.00,39
644,857394530.00,2E
645,857405370.00,39
646,857416230.00,39
647,857427070.00,2C
648,857437920.00,39
649,857448760.00,39
650,857459620.00,2E
651,857470470.00,39
652,857481310.00,39
653,857492150.00,2C
654,857503000.00,39
655,857513860.00,39
656,857524700.00,2E
657,857535550.00,39
658,857546390.00,39
659,857557250.00,2C
660,857568090.00,34
661,857578930.00,2A
662,857589780.00,33
663,857600640.00,36
664,857611480.00,0D
665,857622330.00,0A
666,857633170.00,24
667,857644030.00,47
668,857654870.00,4E
669,857665720.00,47
670,857676560.00,53
671,857687410.00,41
672,857698270.00,2C
673,857709110.00,41
674,857719950.00,2C
675,857730790.00,31
676,857741650.00,2C
677,857752500.00,2C
678,857763340.00,2C
679,857774190.00,2C
680,857785050.00,2C
681,857795890.00,2C
682,857806730.00,2C
683,857817580.00,2C
684,857828440.00,2C
685,857839280.00,2C
686,857850120.00,2C
687,857860970.00,2C
688,857871830.00,2C
689,857882670.00,39
690,857893510.00,39
691,857904360.00,2E
692,857915200.00,39
693,857926060.00,39
694,857936910.00,2C
695,857947750.00,39
696,857958590.00,39
697,857969450.00,2E
698,857980290.00,39
699,857991140.00,39
700,858001980.00,2C
701,858012840.00,39
702,858023690.00,39
703,858034530.00,2E
704,858045370.00,39
705,858056230.00,39
706,858067080.00,2C
707,858077920.00,35
708,858088770.00,2A
709,858099630.00,33
710,858110470.00,37
711,858121310.00,0D
712,858132150.00,0A
713,858143000.00,24
714,858153860.00,47
715,858164700.00,50
716,858175550.00,47
717,858186390.00,53
718,858197250.00,56
719,858208090.00,2C
720,858218940.00,31
721,858229780.00,2C
722,858240640.00,31
723,858251480.00,2C
724,858262330.00,30
725,858273170.00,30
726,858284030.00,2C
727,858294870.00,30
728,858305720.00,2A
729,858316560.00,36
730,858327410.00,35
731,858338270.00,0D
732,858349110.00,0A
733,858359950.00,24
734,858370800.00,47
735,858381650.00,41
736,858392500.00,47
737,858403340.00,53
738,858414190.00,56
739,858425050.00,2C
740,858435890.00,31
741,858446730.00,2C
742,858457580.00,31
743,858468440.00,2C
744,858479280.00,30
745,858490130.00,30
746,858500970.00,2C
747,858511830.00,30
748,858522670.00,2A
749,858533510.00,37
750,858544360.00,34
751,858555200.00,0D
